Generation,Best Fitness,Avg Fitness,Timestamp
0,151.60858014988372,-24.132811764546396,1765528711.7472355
0,144.54781946795708,-37.01205349771602,1765529194.9192133
1,6.666550260675892,-38.13006136997351,1765529412.178299
2,143.9904581574809,-36.518008366869616,1765529583.607408
3,10.203377986342609,-35.76531195059938,1765529761.6853857
4,129.93961581512843,-31.94302975826111,1765529945.5548449
5,6.676172305962854,-38.26729096344601,1765530123.0588057
6,7.023753923159436,-34.7209793646534,1765530342.3541043
7,6.96303156950119,-38.42317297474709,1765530566.9700546
8,128.91260721014433,-31.025571201127462,1765530778.1265411
9,151.49577815245198,-32.41822517445377,1765530978.7390187
10,148.64219669746794,-32.626254006828184,1765531186.0755866
11,150.95826992872162,-28.514178095212422,1765531380.100346
12,148.8770961088557,-24.572111105673294,1765531600.2611518
13,148.47044220921293,-26.61298952527258,1765531809.038799
14,153.2700741897511,-10.883985630003078,1765532002.6072414
15,153.00889412401577,-15.210067780875113,1765532219.581169
16,153.59204303106645,-4.091333796026606,1765532397.7523937
17,152.1149594798779,-0.1073380184004671,1765532607.9795828
18,152.60854667947967,1.378625941351409,1765532830.1321769
19,152.55626067963027,18.02624353854561,1765533038.1495492
20,152.28595845287856,11.437612102419518,1765533268.3625631
21,153.713503030958,19.150605458748274,1765533478.3969665
22,153.50714251146474,13.164466586949505,1765533773.4715338
23,154.23064313913827,27.018065405285192,1765534072.835723
24,154.44956061417886,37.995950285791366,1765534301.2165895
25,154.33511281424381,14.214051970104167,1765534568.4863
26,154.23070114796417,35.83500941228847,1765534814.0447853
27,153.81568847662405,17.28667450614485,1765535151.7341137
28,154.15390418206604,36.0782678753653,1765535382.343587
29,154.2687202530816,30.794886332457498,1765535655.6861546
30,154.2190918582586,44.241075392655596,1765535921.4141064
31,154.41665947942778,69.69182490079478,1765536141.8594134
32,154.43814545464556,52.822804509493054,1765536414.414741
31,-150.33400000000464,-150.3340000000046,1765536646.8739595
32,-150.33400000000464,-150.3340000000046,1765536757.9574714
33,-150.33400000000464,-150.3340000000046,1765536846.565372
